Date : 2024-09-11 10:38:51
Directory : e:\Vue\sakai-vue-master
Total : 112 files,  24934 codes, 316 comments, 1222 blanks, all 26472 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         15 |     10,223 |          0 |         12 |     10,235 |
| vue                |         46 |      8,542 |        278 |        658 |      9,478 |
| JavaScript         |         15 |      2,725 |         29 |        105 |      2,859 |
| HTML               |          2 |      2,348 |          5 |        295 |      2,648 |
| SCSS               |         17 |        640 |          2 |        109 |        751 |
| XML                |         11 |        389 |          2 |          9 |        400 |
| Markdown           |          3 |         50 |          0 |         32 |         82 |
| JSON with Comments |          1 |         13 |          0 |          0 |         13 |
| CSS                |          2 |          4 |          0 |          2 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                     |        112 |     24,934 |        316 |      1,222 |     26,472 |
| . (Files)                                                             |         14 |      7,127 |         11 |        337 |      7,475 |
| public                                                                |         22 |      6,003 |          2 |         18 |      6,023 |
| public\demo                                                           |         22 |      6,003 |          2 |         18 |      6,023 |
| public\demo\data                                                      |         11 |      5,614 |          0 |          9 |      5,623 |
| public\demo\images                                                    |         11 |        389 |          2 |          9 |        400 |
| public\demo\images (Files)                                            |          2 |         48 |          2 |          0 |         50 |
| public\demo\images\access                                             |          1 |         46 |          0 |          1 |         47 |
| public\demo\images\error                                              |          1 |         74 |          0 |          1 |         75 |
| public\demo\images\landing                                            |          7 |        221 |          0 |          7 |        228 |
| src                                                                   |         76 |     11,804 |        303 |        867 |     12,974 |
| src (Files)                                                           |          3 |        244 |         18 |         39 |        301 |
| src\assets                                                            |         19 |        644 |          2 |        111 |        757 |
| src\assets (Files)                                                    |          2 |          6 |          1 |          3 |         10 |
| src\assets\demo                                                       |          3 |         19 |          0 |          4 |         23 |
| src\assets\demo (Files)                                               |          2 |         18 |          0 |          3 |         21 |
| src\assets\demo\flags                                                 |          1 |          1 |          0 |          1 |          2 |
| src\assets\layout                                                     |         14 |        619 |          1 |        104 |        724 |
| src\assets\layout (Files)                                             |         11 |        589 |          1 |        101 |        691 |
| src\assets\layout\variables                                           |          3 |         30 |          0 |          3 |         33 |
| src\components                                                        |          1 |         19 |          0 |          3 |         22 |
| src\layout                                                            |          8 |        782 |          6 |        101 |        889 |
| src\layout (Files)                                                    |          7 |        717 |          6 |         81 |        804 |
| src\layout\composables                                                |          1 |         65 |          0 |         20 |         85 |
| src\router                                                            |          1 |        194 |          5 |          6 |        205 |
| src\service                                                           |          7 |      2,131 |          0 |         37 |      2,168 |
| src\views                                                             |         37 |      7,790 |        272 |        570 |      8,632 |
| src\views (Files)                                                     |          1 |        280 |          0 |         18 |        298 |
| src\views\pages                                                       |         21 |      4,787 |        271 |        349 |      5,407 |
| src\views\pages (Files)                                               |         17 |      4,536 |        271 |        316 |      5,123 |
| src\views\pages\auth                                                  |          4 |        251 |          0 |         33 |        284 |
| src\views\uikit                                                       |         15 |      2,723 |          1 |        203 |      2,927 |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                              | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\Vue\sakai-vue-master\.eslintrc.cjs                                 | JavaScript         |         21 |          1 |          2 |         24 |
| e:\Vue\sakai-vue-master\.prettierrc.json                              | JSON               |         10 |          0 |          1 |         11 |
| e:\Vue\sakai-vue-master\CHANGELOG.md                                  | Markdown           |         32 |          0 |         26 |         58 |
| e:\Vue\sakai-vue-master\LICENSE.md                                    | Markdown           |         17 |          0 |          5 |         22 |
| e:\Vue\sakai-vue-master\README.md                                     | Markdown           |          1 |          0 |          1 |          2 |
| e:\Vue\sakai-vue-master\index.html                                    | HTML               |         14 |          0 |          3 |         17 |
| e:\Vue\sakai-vue-master\jsconfig.json                                 | JSON with Comments |         13 |          0 |          0 |         13 |
| e:\Vue\sakai-vue-master\localhost_2024-09-09_09-49-57.report.html     | HTML               |      2,334 |          5 |        292 |      2,631 |
| e:\Vue\sakai-vue-master\package-lock.json                             | JSON               |      4,540 |          0 |          1 |      4,541 |
| e:\Vue\sakai-vue-master\package.json                                  | JSON               |         50 |          0 |          1 |         51 |
| e:\Vue\sakai-vue-master\postcss.config.js                             | JavaScript         |          6 |          0 |          1 |          7 |
| e:\Vue\sakai-vue-master\public\demo\data\countries.json               | JSON               |        247 |          0 |          0 |        247 |
| e:\Vue\sakai-vue-master\public\demo\data\customers-large.json         | JSON               |      3,604 |          0 |          1 |      3,605 |
| e:\Vue\sakai-vue-master\public\demo\data\customers-medium.json        | JSON               |        804 |          0 |          1 |        805 |
| e:\Vue\sakai-vue-master\public\demo\data\events.json                  | JSON               |         68 |          0 |          1 |         69 |
| e:\Vue\sakai-vue-master\public\demo\data\icons.json                   | JSON               |          1 |          0 |          0 |          1 |
| e:\Vue\sakai-vue-master\public\demo\data\photos.json                  | JSON               |         94 |          0 |          1 |         95 |
| e:\Vue\sakai-vue-master\public\demo\data\products-orders-small.json   | JSON               |        341 |          0 |          1 |        342 |
| e:\Vue\sakai-vue-master\public\demo\data\products-small.json          | JSON               |         14 |          0 |          1 |         15 |
| e:\Vue\sakai-vue-master\public\demo\data\products.json                | JSON               |         34 |          0 |          2 |         36 |
| e:\Vue\sakai-vue-master\public\demo\data\treenodes.json               | JSON               |         54 |          0 |          1 |         55 |
| e:\Vue\sakai-vue-master\public\demo\data\treetablenodes.json          | JSON               |        353 |          0 |          0 |        353 |
| e:\Vue\sakai-vue-master\public\demo\images\access\asset-access.svg    | XML                |         46 |          0 |          1 |         47 |
| e:\Vue\sakai-vue-master\public\demo\images\error\asset-error.svg      | XML                |         74 |          0 |          1 |         75 |
| e:\Vue\sakai-vue-master\public\demo\images\landing\enterprise.svg     | XML                |         73 |          0 |          1 |         74 |
| e:\Vue\sakai-vue-master\public\demo\images\landing\free.svg           | XML                |         33 |          0 |          1 |         34 |
| e:\Vue\sakai-vue-master\public\demo\images\landing\mockup-desktop.svg | XML                |         24 |          0 |          1 |         25 |
| e:\Vue\sakai-vue-master\public\demo\images\landing\mockup.svg         | XML                |         30 |          0 |          1 |         31 |
| e:\Vue\sakai-vue-master\public\demo\images\landing\new-badge.svg      | XML                |          5 |          0 |          1 |          6 |
| e:\Vue\sakai-vue-master\public\demo\images\landing\peak-logo.svg      | XML                |          4 |          0 |          1 |          5 |
| e:\Vue\sakai-vue-master\public\demo\images\landing\startup.svg        | XML                |         52 |          0 |          1 |         53 |
| e:\Vue\sakai-vue-master\public\demo\images\logo-white.svg             | XML                |         24 |          1 |          0 |         25 |
| e:\Vue\sakai-vue-master\public\demo\images\logo.svg                   | XML                |         24 |          1 |          0 |         25 |
| e:\Vue\sakai-vue-master\src\App.vue                                   | vue                |         16 |          0 |          4 |         20 |
| e:\Vue\sakai-vue-master\src\api.js                                    | JavaScript         |        203 |         15 |         28 |        246 |
| e:\Vue\sakai-vue-master\src\assets\demo\code.scss                     | SCSS               |         16 |          0 |          2 |         18 |
| e:\Vue\sakai-vue-master\src\assets\demo\demo.scss                     | SCSS               |          2 |          0 |          1 |          3 |
| e:\Vue\sakai-vue-master\src\assets\demo\flags\flags.css               | CSS                |          1 |          0 |          1 |          2 |
| e:\Vue\sakai-vue-master\src\assets\layout\_core.scss                  | SCSS               |         20 |          0 |          4 |         24 |
| e:\Vue\sakai-vue-master\src\assets\layout\_footer.scss                | SCSS               |          8 |          0 |          1 |          9 |
| e:\Vue\sakai-vue-master\src\assets\layout\_main.scss                  | SCSS               |         12 |          0 |          2 |         14 |
| e:\Vue\sakai-vue-master\src\assets\layout\_menu.scss                  | SCSS               |        134 |          0 |         25 |        159 |
| e:\Vue\sakai-vue-master\src\assets\layout\_mixins.scss                | SCSS               |         14 |          0 |          2 |         16 |
| e:\Vue\sakai-vue-master\src\assets\layout\_preloading.scss            | SCSS               |         44 |          0 |          4 |         48 |
| e:\Vue\sakai-vue-master\src\assets\layout\_responsive.scss            | SCSS               |         97 |          0 |         14 |        111 |
| e:\Vue\sakai-vue-master\src\assets\layout\_topbar.scss                | SCSS               |        170 |          0 |         31 |        201 |
| e:\Vue\sakai-vue-master\src\assets\layout\_typography.scss            | SCSS               |         56 |          0 |         13 |         69 |
| e:\Vue\sakai-vue-master\src\assets\layout\_utils.scss                 | SCSS               |         21 |          1 |          4 |         26 |
| e:\Vue\sakai-vue-master\src\assets\layout\layout.scss                 | SCSS               |         13 |          0 |          1 |         14 |
| e:\Vue\sakai-vue-master\src\assets\layout\variables\_common.scss      | SCSS               |         20 |          0 |          1 |         21 |
| e:\Vue\sakai-vue-master\src\assets\layout\variables\_dark.scss        | SCSS               |          5 |          0 |          1 |          6 |
| e:\Vue\sakai-vue-master\src\assets\layout\variables\_light.scss       | SCSS               |          5 |          0 |          1 |          6 |
| e:\Vue\sakai-vue-master\src\assets\styles.scss                        | SCSS               |          3 |          1 |          2 |          6 |
| e:\Vue\sakai-vue-master\src\assets\tailwind.css                       | CSS                |          3 |          0 |          1 |          4 |
| e:\Vue\sakai-vue-master\src\components\FloatingConfigurator.vue       | vue                |         19 |          0 |          3 |         22 |
| e:\Vue\sakai-vue-master\src\layout\AppConfigurator.vue                | vue                |        231 |          0 |         15 |        246 |
| e:\Vue\sakai-vue-master\src\layout\AppFooter.vue                      | vue                |          9 |          0 |          2 |         11 |
| e:\Vue\sakai-vue-master\src\layout\AppLayout.vue                      | vue                |         60 |          0 |         10 |         70 |
| e:\Vue\sakai-vue-master\src\layout\AppMenu.vue                        | vue                |         62 |          0 |          5 |         67 |
| e:\Vue\sakai-vue-master\src\layout\AppMenuItem.vue                    | vue                |         76 |          0 |         17 |         93 |
| e:\Vue\sakai-vue-master\src\layout\AppSidebar.vue                     | vue                |          9 |          0 |          3 |         12 |
| e:\Vue\sakai-vue-master\src\layout\AppTopbar.vue                      | vue                |        270 |          6 |         29 |        305 |
| e:\Vue\sakai-vue-master\src\layout\composables\layout.js              | JavaScript         |         65 |          0 |         20 |         85 |
| e:\Vue\sakai-vue-master\src\main.js                                   | JavaScript         |         25 |          3 |          7 |         35 |
| e:\Vue\sakai-vue-master\src\router\index.js                           | JavaScript         |        194 |          5 |          6 |        205 |
| e:\Vue\sakai-vue-master\src\service\CountryService.js                 | JavaScript         |        251 |          0 |          2 |        253 |
| e:\Vue\sakai-vue-master\src\service\CustomerService.js                | JavaScript         |         29 |          0 |          8 |         37 |
| e:\Vue\sakai-vue-master\src\service\DashboardService.js               | JavaScript         |         81 |          0 |          6 |         87 |
| e:\Vue\sakai-vue-master\src\service\NodeService.js                    | JavaScript         |        428 |          0 |          4 |        432 |
| e:\Vue\sakai-vue-master\src\service\PhotoService.js                   | JavaScript         |         99 |          0 |          2 |        101 |
| e:\Vue\sakai-vue-master\src\service\ProductService.js                 | JavaScript         |      1,214 |          0 |          7 |      1,221 |
| e:\Vue\sakai-vue-master\src\service\SalesService.js                   | JavaScript         |         29 |          0 |          8 |         37 |
| e:\Vue\sakai-vue-master\src\views\Dashboard.vue                       | vue                |        280 |          0 |         18 |        298 |
| e:\Vue\sakai-vue-master\src\views\pages\CarCompare.vue                | vue                |        462 |         45 |         18 |        525 |
| e:\Vue\sakai-vue-master\src\views\pages\CarSearch.vue                 | vue                |        193 |         93 |          8 |        294 |
| e:\Vue\sakai-vue-master\src\views\pages\CarSeriesDetail.vue           | vue                |        537 |          3 |         29 |        569 |
| e:\Vue\sakai-vue-master\src\views\pages\CarTrimDetail.vue             | vue                |        673 |          4 |         34 |        711 |
| e:\Vue\sakai-vue-master\src\views\pages\Crud.vue                      | vue                |        259 |          0 |         32 |        291 |
| e:\Vue\sakai-vue-master\src\views\pages\Documentation.vue             | vue                |         59 |          0 |         10 |         69 |
| e:\Vue\sakai-vue-master\src\views\pages\Empty.vue                     | vue                |          6 |          0 |          1 |          7 |
| e:\Vue\sakai-vue-master\src\views\pages\HotSales.vue                  | vue                |        211 |          0 |         16 |        227 |
| e:\Vue\sakai-vue-master\src\views\pages\Landing.vue                   | vue                |        171 |         61 |         14 |        246 |
