"filename", "language", "vue", "JavaScript", "comment", "blank", "total"
"e:\Vue\sakai-vue-master\src\service\CountryService.js", "JavaScript", 0, -251, 0, -2, -253
"e:\Vue\sakai-vue-master\src\service\NodeService.js", "JavaScript", 0, -428, 0, -4, -432
"e:\Vue\sakai-vue-master\src\service\PhotoService.js", "JavaScript", 0, -99, 0, -2, -101
"e:\Vue\sakai-vue-master\src\service\ProductService.js", "JavaScript", 0, -1214, 0, -7, -1221
"e:\Vue\sakai-vue-master\src\views\pages\Crud.vue", "vue", -259, 0, 0, -32, -291
"e:\Vue\sakai-vue-master\src\views\pages\Documentation.vue", "vue", -59, 0, 0, -10, -69
"e:\Vue\sakai-vue-master\src\views\pages\Empty.vue", "vue", -6, 0, 0, -1, -7
"e:\Vue\sakai-vue-master\src\views\pages\NotFound.vue", "vue", -62, 0, 0, -2, -64
"e:\Vue\sakai-vue-master\src\views\uikit\ButtonDoc.vue", "vue", -194, 0, 0, -5, -199
"e:\Vue\sakai-vue-master\src\views\uikit\ChartDoc.vue", "vue", -255, 0, 0, -15, -270
"e:\Vue\sakai-vue-master\src\views\uikit\FileDoc.vue", "vue", -32, 0, 0, -5, -37
"e:\Vue\sakai-vue-master\src\views\uikit\FormLayout.vue", "vue", -113, 0, 0, -9, -122
"e:\Vue\sakai-vue-master\src\views\uikit\InputDoc.vue", "vue", -225, 0, 0, -24, -249
"e:\Vue\sakai-vue-master\src\views\uikit\ListDoc.vue", "vue", -152, 0, 0, -12, -164
"e:\Vue\sakai-vue-master\src\views\uikit\MenuDoc.vue", "vue", -503, 0, 0, -12, -515
"e:\Vue\sakai-vue-master\src\views\uikit\MessagesDoc.vue", "vue", -60, 0, 0, -9, -69
"e:\Vue\sakai-vue-master\src\views\uikit\MiscDoc.vue", "vue", -177, 0, 0, -21, -198
"e:\Vue\sakai-vue-master\src\views\uikit\OverlayDoc.vue", "vue", -167, 0, 0, -21, -188
"e:\Vue\sakai-vue-master\src\views\uikit\PanelsDoc.vue", "vue", -206, 0, 0, -11, -217
"e:\Vue\sakai-vue-master\src\views\uikit\TableDoc.vue", "vue", -360, 0, 0, -32, -392
"e:\Vue\sakai-vue-master\src\views\uikit\TimelineDoc.vue", "vue", -150, 0, 0, -10, -160
"e:\Vue\sakai-vue-master\src\views\uikit\TreeDoc.vue", "vue", -26, 0, 0, -5, -31
"Total", "-", -3006, -1992, 0, -251, -5249
