大众	德国	274835	13.43%	201901
丰田	日本	158069	7.72%	201901
吉利汽车	中国	151191	7.39%	201901
本田	日本	139824	6.83%	201901
日产	日本	100638	4.92%	201901
别克	美国	93101	4.55%	201901
哈弗	中国	86152	4.21%	201901
长安	中国	72249	3.53%	201901
宝骏	中国	72188	3.53%	201901
雪佛兰	美国	60595	2.96%	201901
五菱汽车	中国	57235	2.8%	201901
奔驰	德国	56231	2.75%	201901
宝马	德国	53289	2.6%	201901
奥迪	德国	50987	2.49%	201901
奇瑞	中国	44474	2.17%	201901
比亚迪	中国	43257	2.11%	201901
荣威	中国	41336	2.02%	201901
现代	韩国	31997	1.56%	201901
广汽传祺	中国	31929	1.56%	201901
起亚	韩国	30169	1.47%	201901
凯迪拉克	美国	26801	1.31%	201901
东风风光	中国	24342	1.19%	201901
江汽集团	中国	23601	1.15%	201901
斯柯达	捷克	22876	1.12%	201901
名爵	中国	18667	0.91%	201901
马自达	日本	15309	0.75%	201901
福特	美国	15037	0.73%	201901
沃尔沃	瑞典	13332	0.65%	201901
领克	中国	12588	0.61%	201901
启辰	中国	12150	0.59%	201901
三菱	日本	12015	0.59%	201901
东风风行	中国	11086	0.54%	201901
长安欧尚	中国	10765	0.53%	201901
魏牌	中国	10167	0.5%	201901
捷途	中国	10058	0.49%	201901
众泰	中国	10026	0.49%	201901
Jeep	美国	9217	0.45%	201901
东风风神	中国	8517	0.42%	201901
奔腾	中国	8413	0.41%	201901
金杯	中国	8335	0.41%	201901
北汽幻速	中国	7898	0.39%	201901
华泰	中国	7529	0.37%	201901
猎豹汽车	中国	7035	0.34%	201901
SWM斯威汽车	中国	6830	0.33%	201901
标致	法国	6504	0.32%	201901
北京汽车	中国	6206	0.3%	201901
雪铁龙	法国	5750	0.28%	201901
红旗	中国	5203	0.25%	201901
君马汽车	中国	5013	0.24%	201901
宝沃	德国	4630	0.23%	201901
长城	中国	3932	0.19%	201901
欧拉	中国	3785	0.18%	201901
上汽大通MAXUS	中国	3370	0.16%	201901
比速汽车	中国	3032	0.15%	201901
雷诺	法国	3030	0.15%	201901
东南	中国	2979	0.15%	201901
中华	中国	2668	0.13%	201901
大乘汽车	中国	2207	0.11%	201901
路虎	英国	1850	0.09%	201901
一汽	中国	1848	0.09%	201901
蔚来	中国	1803	0.09%	201901
福田	中国	1682	0.08%	201901
东风小康	中国	1650	0.08%	201901
北汽昌河	中国	1631	0.08%	201901
铃木	日本	1572	0.08%	201901
英菲尼迪	日本	1521	0.07%	201901
开瑞	中国	1450	0.07%	201901
北京	中国	1328	0.06%	201901
中国重汽VGV	中国	1131	0.06%	201901
海马	中国	1000	0.05%	201901
讴歌	日本	898	0.04%	201901
凯翼	中国	894	0.04%	201901
捷豹	英国	862	0.04%	201901
欧尚汽车	中国	603	0.03%	201901
小鹏汽车	中国	599	0.03%	201901
江铃集团新能源	中国	579	0.03%	201901
江铃	中国	579	0.03%	201901
力帆汽车	中国	565	0.03%	201901
观致	中国	482	0.02%	201901
云度	中国	344	0.02%	201901
北汽制造	中国	317	0.02%	201901
长安凯程	中国	313	0.02%	201901
DS	法国	303	0.01%	201901
五十铃	日本	159	0.01%	201901
腾势	中国	93	-	201901
福迪	中国	82	-	201901
福汽启腾	中国	76	-	201901
东风	中国	61	-	201901
东风风度	中国	60	-	201901
野马汽车	中国	46	-	201901
大众	德国	176388	14.25%	201902
吉利汽车	中国	76276	6.16%	201902
本田	日本	74859	6.05%	201902
丰田	日本	67020	5.41%	201902
日产	日本	62325	5.03%	201902
别克	美国	61811	4.99%	201902
哈弗	中国	49316	3.98%	201902
长安	中国	47162	3.81%	201902
宝骏	中国	41377	3.34%	201902
奔驰	德国	39595	3.2%	201902
现代	韩国	38717	3.13%	201902
五菱汽车	中国	38114	3.08%	201902
宝马	德国	32929	2.66%	201902
奥迪	德国	30295	2.45%	201902
雪佛兰	美国	28456	2.3%	201902
荣威	中国	27453	2.22%	201902
比亚迪	中国	26409	2.13%	201902
奇瑞	中国	23150	1.87%	201902
起亚	韩国	22024	1.78%	201902
广汽传祺	中国	20842	1.68%	201902
东风风光	中国	15079	1.22%	201902
斯柯达	捷克	13522	1.09%	201902
名爵	中国	12542	1.01%	201902
凯迪拉克	美国	11007	0.89%	201902
马自达	日本	10904	0.88%	201902
江汽集团	中国	9576	0.77%	201902
长安欧尚	中国	9354	0.76%	201902
众泰	中国	8798	0.71%	201902
北汽幻速	中国	8582	0.69%	201902
领克	中国	7276	0.59%	201902
捷途	中国	7099	0.57%	201902
福特	美国	6996	0.57%	201902
三菱	日本	6976	0.56%	201902
奔腾	中国	6536	0.53%	201902
魏牌	中国	6205	0.5%	201902
沃尔沃	瑞典	5263	0.43%	201902
北京汽车	中国	5253	0.42%	201902
金杯	中国	5142	0.42%	201902
东风风行	中国	5078	0.41%	201902
启辰	中国	5010	0.4%	201902
Jeep	美国	4807	0.39%	201902
SWM斯威汽车	中国	4234	0.34%	201902
东风风神	中国	4002	0.32%	201902
雪铁龙	法国	3500	0.28%	201902
长城	中国	3489	0.28%	201902
君马汽车	中国	3329	0.27%	201902
华泰	中国	3306	0.27%	201902
中华	中国	3303	0.27%	201902
欧拉	中国	3280	0.26%	201902
标致	法国	3073	0.25%	201902
上汽大通MAXUS	中国	3000	0.24%	201902
北汽新能源	中国	2866	0.23%	201902
北汽威旺	中国	2725	0.22%	201902
汉腾汽车	中国	2689	0.22%	201902
东风小康	中国	2594	0.21%	201902
红旗	中国	2532	0.2%	201902
比速汽车	中国	2466	0.2%	201902
欧尚汽车	中国	2432	0.2%	201902
宝沃	德国	2337	0.19%	201902
猎豹汽车	中国	2249	0.18%	201902
东南	中国	2021	0.16%	201902
开瑞	中国	1627	0.13%	201902
路虎	英国	1492	0.12%	201902
雷诺	法国	1470	0.12%	201902
铃木	日本	1449	0.12%	201902
海马	中国	1283	0.1%	201902
北汽昌河	中国	1241	0.1%	201902
大乘汽车	中国	1153	0.09%	201902
一汽	中国	1144	0.09%	201902
福田	中国	1070	0.09%	201902
捷豹	英国	1069	0.09%	201902
英菲尼迪	日本	1055	0.09%	201902
