2024-07	1725174	-3.17%
2024-06	1769462	-6.59%
2024-05	1716443	1.81%
2024-04	1541842	-5.76%
2024-03	1691118	6.13%
2024-02	1111541	-20.41%
2024-01	2034527	57.09%
2023-12	2360143	7.73%
2023-11	2077155	3.47%
2023-10	2032470	-6.44%
2023-09	2019445	-11.25%
2023-08	1922495	-13.39%
2023-07	1781580	-16.2%
2023-06	1894250	-12.54%
2023-05	1685966	6.91%
2023-04	1635995	73.57%
2023-03	1593454	-12.44%
2023-02	1396501	-3.78%
2023-01	1295097	-39.48%
2022-12	2190865	-8.66%
2022-11	2007402	-7.73%
2022-10	2172374	9.15%
2022-09	2275494	30.96%
2022-08	2219832	43.78%
2022-07	2125896	37.73%
2022-06	2165958	39.42%
2022-05	1577056	-3.96%
2022-04	942539	-46.04%
2022-03	1819813	-4.94%
2022-02	1451381	26.41%
2022-01	2140050	-9.26%
2021-12	2398523	4.93%
2021-11	2175564	3.67%
2021-10	1990339	-13.48%
2021-09	1737510	-16.3%
2021-08	1543903	-12.01%
2021-07	1543474	-7.29%
2021-06	1553528	-9.71%
2021-05	1642018	-1.9%
2021-04	1746754	13.68%
2021-03	1914414	84.16%
2021-02	1148130	100%
2021-01	2358372	39.01%
2020-12	2285751	3.28%
2020-11	2098448	2.03%
2020-10	2300447	19.34%
2020-09	2075889	7.52%
2020-08	1754600	6.15%
2020-07	1664826	8.96%
2020-06	1720593	-0.42%
2020-05	1673900	7.22%
2020-04	1536600	-2.43%
2020-03	1039532	-48.52%
2020-02	216481	-82.25%
2020-01	1696520	-16.06%
2019-12	2213089	-0.9%
2019-11	2056669	-5.37%
2019-10	1927669	-5.82%
2019-09	1930637	-6.3%
2019-08	1652908	-7.65%
2019-07	1527912	-3.88%
2019-06	1727910	-7.8%
2019-05	1561172	-17.37%
2019-04	1574877	-17.73%
2019-03	2019443	-6.88%
2019-02	1219497	-17.35%
2019-01	2021089	-17.71%
2018-12	2233108	-15.84%
2018-11	2173485	-16.06%
2018-10	2046840	-12.99%
2018-09	2060478	-12.04%
2018-08	1789871	-4.55%
2018-07	1589544	-5.3%
2018-06	1874181	2.31%
2018-05	1889414	7.89%
2018-04	1914369	11.16%
2018-03	2168570	3.45%
2018-02	1475512	-9.63%
2018-01	2456157	10.73%
2017-12	2653255	-0.71%
2017-11	2589477	-0.03%
2017-10	2352462	0.36%
2017-09	2342567	3.27%
2017-08	1875193	4.44%
2017-07	1678433	4.61%
2017-06	1831847	2.68%
2017-05	1751294	-2.33%
2017-04	1722243	-3.2%
2017-03	2096286	1.97%
2017-02	1632748	18.6%
2017-01	2218215	-0.47%
2016-12	2672264	9.42%
2016-11	2590157	17.91%
2016-10	2344128	21.03%
2016-09	2268338	29.53%
2016-08	1795512	26.58%
2016-07	1604530	26.48%
2016-06	1784053	18.04%
2016-05	1793035	11.42%
2016-04	1779130	6.61%
2016-03	2055706	9.91%
2016-02	1376681	-1.44%
2016-01	2228705	9.36%
2015-12	2442126	18.49%
2015-11	2196773	23.74%
2015-10	1936875	13.34%
2015-09	1751215	3.26%
2015-08	1418462	-3.39%
2015-07	1268597	-6.58%
2015-06	1511439	-3.37%
2015-05	1609274	1.19%
2015-04	1668824	3.72%
2015-03	1870357	9.37%
2015-02	1396733	6.44%
2015-01	2038003	10.35%
2014-12	2061044	15.99%
2014-11	1775320	4.66%
2014-10	1708861	6.42%
2014-09	1696001	6.43%
2014-08	1468166	8.49%
2014-07	1357948	9.72%
2014-06	1564117	11.45%
2014-05	1590354	13.85%
2014-04	1609035	11.63%
2014-03	1710067	7.86%
2014-02	1312197	18.01%
2014-01	1846846	7.03%
2013-12	1776937	21.47%
2013-11	1696278	16.08%
2013-10	1605748	-0.01%
2013-09	1593512	-1.47%
2013-08	1353235	11.02%
2013-07	1237596	10.48%
2013-06	1403453	9.29%
2013-05	1396871	-13.09%
2013-04	1441441	-12.51%
2013-03	1585509	-15.69%
2013-02	1111892	-8.34%
2013-01	1725525	24.16%
2012-12	1462874	-13.42%
2012-11	1461303	-11.76%
2012-10	1605980	5.32%
2012-09	1617358	-1.75%
2012-08	1218884	-11.75%
2012-07	1120206	-12.16%
2012-06	1284175	-10.57%
2012-05	1607200	16.23%
2012-04	1647600	6.16%
2012-03	1880600	2.85%
2012-02	1213100	-4.25%
2012-01	1389800	-26.63%
2011-12	1689600	1.37%
2011-11	1656000	-15.81%
2011-10	1524822	-0.9%
2011-09	1646100	5.74%
2011-08	1381100	4.47%
2011-07	1275300	2.52%
2011-06	1435900	1.69%
2011-05	1382800	-3.84%
2011-04	1552000	-0.19%
2011-03	1828500	5.39%
2011-02	1267000	2.67%
2011-01	1894300	13.84%
2010-12	1666700	17.9%
2010-11	1967000	47.04%
2010-10	1538600	25.47%
2010-09	1556700	16.89%
2010-08	1322000	16.12%
2010-07	1244000	14.59%
2010-06	1412100	23.65%
2010-05	1438000	28.39%
2010-04	1555000	34.87%
2010-03	1735000	56.31%
2010-02	1234000	49.03%
2010-01	1664000	100%
2009-12	1413700	91.04%
2009-11	1337700	93.87%
2009-10	1226300	70.32%
2009-09	1331800	77.57%
2009-08	1138500	80.71%
2009-07	1085600	62.03%
2009-06	1142000	35.95%
2009-05	1120000	33.33%
2009-04	1153000	25.33%
2009-03	1110000	4.72%
2009-02	828000	25.45%
2009-01	735000	-14.53%
2008-12	740000	-11.9%
2008-11	690000	-13.75%
2008-10	720000	4.35%
2008-09	750000	-2.6%
2008-08	630000	-5.97%
2008-07	670000	4.69%
2008-06	840000	15.07%
2008-05	840000	18.31%
2008-04	920000	13.58%
2008-03	1060000	24.71%
2008-02	660000	20%
2008-01	860000	19.44%
2007-12	840000	-
2007-11	800000	-
2007-10	690000	-
2007-09	770000	-
2007-08	670000	-
2007-07	640000	-
2007-06	730000	-
2007-05	710000	-
2007-04	810000	-
2007-03	850000	-
2007-02	550000	-
2007-01	720000	-
